Ref,Val,Package,PosX,PosY,Rot,Side
"C2","PV-EC-ALU-004-100U","5.5x5.5x5",4.000000,33.750000,90.000000,top
"C3","PV-EC-ALU-004-100U","5.5x5.5x5",4.000000,22.750000,270.000000,top
"C6","PV-EC-ALU-004-100U","5.5x5.5x5",38.750000,14.500000,180.000000,top
"C10","PV-EC-CAP-014-8P","0402",45.700000,22.600000,90.000000,top
"C11","PV-EC-CAP-014-8P","0402",47.700000,22.500000,270.000000,top
"C12","PV-EC-CAP-014-18P","0402",40.300000,20.850000,270.000000,top
"C13","PV-EC-CAP-014-18P","0402",41.850000,20.850000,270.000000,top
"C15","PV-EC-CAP-010-4U7","0402",16.000000,24.750000,0.000000,top
"C22","PV-EC-CAP-017-22U","0603",9.700000,28.100000,270.000000,top
"C30","PV-EC-CAP-014-18P","0402",27.750000,47.100000,0.000000,top
"C36","PV-EC-CAP-011-220N","0402",38.000000,10.500000,180.000000,top
"C40","PV-EC-CAP-029-10U","0805",53.900000,44.350000,90.000000,top
"C41","PV-EC-CAP-029-10U","0805",50.200000,44.300000,90.000000,top
"C46","PV-EC-ALU-004-100U","5.5x5.5x5",70.100000,44.350000,0.000000,top
"C47","PV-EC-ALU-004-100U","5.5x5.5x5",70.100000,37.770000,0.000000,top
"C48","PV-EC-CAP-029-10U","0805",62.500000,44.000000,270.000000,top
"C49","PV-EC-CAP-029-10U","0805",60.000000,44.000000,270.000000,top
"C52","PV-EC-CAP-014-18P","0402",55.000000,27.750000,0.000000,top
"C54","PV-EC-CAP-014-18P","0402",65.250000,23.500000,180.000000,top
"C55","PV-EC-CAP-020-1U","0603",52.750000,38.500000,0.000000,top
"C56","PV-EC-CAP-022-220P","0603",52.750000,40.250000,180.000000,top
"C58","PV-EC-CAP-011-220N","0402",12.750000,9.000000,0.000000,top
"C59","PV-EC-CAP-011-220N","0402",61.500000,9.750000,270.000000,top
"C62","PV-EC-CAP-034-10N","1206",1.750000,8.250000,90.000000,top
"C66","PV-EC-CAP-014-18P","0402",50.000000,25.500000,270.000000,top
"C407","PV-EC-CAP-017-22U","0603",9.700000,33.850000,180.000000,top
"C520","PV-EC-CAP-017-22U","0603",19.000000,19.300000,90.000000,top
"C702","PV-EC-CAP-017-22U","0603",9.700000,30.600000,90.000000,top
"C708","PV-EC-CAP-017-22U","0603",12.450000,33.850000,0.000000,top
"CN2","PV-EC-CON-013-006","2908-05WB-MG",27.250000,8.250000,180.000000,top
"CN5","PV-EC-CON-012-003","35RASMT2BHNTRX",68.000000,7.000000,90.000000,top
"CN6","PV-EC-CON-010-004","629104190121",45.750000,4.750000,0.000000,top
"D1","PV-EC-OPT-006-003","0603",39.000000,52.750000,0.000000,top
"D2","PV-EC-OPT-006-002","0603",36.000000,52.750000,180.000000,top
"D3","PV-EC-DIO-001-001","SOD-523",58.000000,16.500000,180.000000,top
"D4","PV-EC-PTN-003-012","DO-214AA-2",10.500000,14.000000,0.000000,top
"F1","PV-EC-PTN-005-006","1812",3.750000,14.750000,270.000000,top
"FB1","PV-EC-FIL-004-002","1206",4.000000,28.250000,0.000000,top
"FB3","PV-EC-FIL-004-002","1206",51.250000,14.000000,270.000000,top
"FB5","PV-EC-FIL-004-002","1206",54.250000,14.000000,90.000000,top
"FB7","PV-EC-FIL-004-001","0603_FB",62.750000,20.500000,270.000000,top
"FB8","PV-EC-FIL-004-001","0603_FB",56.500000,20.500000,270.000000,top
"FID801","PV-EC-BRD-003-001","Fiducial_1mm",3.750000,43.750000,0.000000,top
"FID805","PV-EC-BRD-003-001","Fiducial_1mm",30.000000,10.250000,0.000000,top
"FID806","PV-EC-BRD-003-001","Fiducial_1mm",72.750000,7.250000,0.000000,top
"L2","PV-EC-FIL-006-003","CM2021Y330R-10",10.250000,20.750000,90.000000,top
"L701","PV-EC-IND-010-2U2","1008",12.450000,31.850000,180.000000,top
"L702","PV-EC-IND-010-2U2","1008",12.450000,41.350000,180.000000,top
"R4","PV-EC-RES-010-100K","0603",16.000000,27.500000,0.000000,top
"R6","PV-EC-RES-007-1M","0402",48.375000,19.975000,90.000000,top
"R7","PV-EC-RES-007-1M","0402",48.675000,21.175000,0.000000,top
"R8","PV-EC-RES-007-1M","0402",46.650000,22.550000,90.000000,top
"R10","PV-EC-RES-007-0R","0402",12.450000,35.600000,180.000000,top
"R12","PV-EC-RES-007-33R","0402",27.400000,45.800000,90.000000,top
"R13","PV-EC-RES-007-10K","0402",58.000000,15.000000,180.000000,top
"R14","PV-EC-RES-007-10K","0402",16.000000,26.000000,180.000000,top
"R15","PV-EC-RES-010-5K6","0603",55.750000,45.600000,270.000000,top
"R16","PV-EC-RES-010-5K6","0603",55.750000,43.100000,270.000000,top
"R17","PV-EC-RES-010-5K6","0603",52.050000,45.600000,270.000000,top
"R18","PV-EC-RES-010-5K6","0603",52.050000,43.100000,270.000000,top
"R20","PV-EC-RES-010-47K","0603",58.250000,44.000000,270.000000,top
